Item Details	Unit	Op. Qty.	Qty. In	Qty. Out	Cl. Qty.
Lion Desseded Dates 250g Cup 82/-	Pcs.	0.00	720.00	720.00	0.00
Lion Desseded Dates 500g Cup 150/-	Pcs.	0.00	810.00	810.00	0.00
Lion Desseded Dates 500g Cup 165/-	Pcs.	0.00	720.00	719.00	1.00
Lion Desseded Dates 500g Cup 170/-	Pcs.	0.00	180.00	89.00	91.00
Lion Diamond dates 250g con 242/-	Pcs.	5.00	0.00	0.00	5.00
Lion Dry Dates 500g P 186/-	Pcs.	0.00	90.00	94.00	-4.00
Lion Grape Squash 700ml 150/-	Pcs.	80.00	0.00	93.00	-13.00
Lion Grape Squash 700ml 172/-	Pcs.	1.00	0.00	0.00	1.00
Lion Healthmix 250g (1+1) 142/-	Pcs.	12.00	0.00	0.00	12.00
Lion Healthmix 250g (1+1) 151/-	Pcs.	0.00	60.00	59.00	1.00
Lion Healthmix 250g (1+1) 153/-	Pcs.	0.00	90.00	77.00	13.00
Lion Honey 1 Kg (1+1) 499/-	Pcs.	5.00	0.00	5.00	0.00
Lion Honey 100g 58/-	Pcs.	-5.00	0.00	0.00	-5.00
Lion Honey 100g 60/-	Pcs.	103.00	672.00	705.00	70.00
Lion Honey 18g 10/-	Pcs.	528.00	12672.00	12288.00	912.00
Lion Honey 1kg  SUPER SAVER  560/-	Pcs.	0.00	220.00	158.00	62.00
Lion Honey 1kg (1+1) 540/-	Pcs.	45.00	1010.00	1055.00	0.00
Lion Honey 1kg +200g  326/-	Pcs.	0.00	940.00	927.00	13.00
Lion Honey 1kg +200g  342/-	Pcs.	0.00	720.00	732.00	-12.00
Lion Honey 1kg 282/-	Pcs.	20.00	0.00	0.00	20.00
Lion Honey 1kg 300/-	Pcs.	400.00	5520.00	5900.00	20.00
Lion Honey 1kg 300/-  (500g+500g)	Pcs.	4.00	0.00	0.00	4.00
Lion Honey 250g (1+1) 154/-	Pcs.	4.00	0.00	0.00	4.00
Lion Honey 250g (1+1) 160/-	Pcs.	57.00	2160.00	2114.00	103.00
Lion Honey 400g (1+1) 248/-	Pcs.	2.00	0.00	0.00	2.00
Lion Honey 400g (1+1) 270/-	Pcs.	17.00	352.00	353.00	16.00
Lion Honey 50g 38/-	Pcs.	210.00	768.00	919.00	59.00
Lion Kalmi Dates 400g R  280/-	Pcs.	0.00	50.00	16.00	34.00
Lion Kimia Dates 500g 242/-	Pcs.	0.00	2160.00	1958.00	202.00
Lion Kimjo Dates 500 G 200/-	Pcs.	13.00	0.00	0.00	13.00
Lion Kimjo Dates 500g 206/-	Pcs.	0.00	756.00	756.00	0.00
Lion Kimjo Dates 500g 220/-	Pcs.	68.00	3564.00	3630.00	2.00
Lion Kimjo Dates 500g 240/-	Pcs.	0.00	288.00	284.00	4.00
Lion Mango Squash 700ml 160/-	Pcs.	29.00	0.00	3.00	26.00
Lion Mango Squash 700ml 165/-	Pcs.	100.00	0.00	76.00	24.00
Lion Mixed Feuit Jam 250g (1+1) 112/-	Pcs.	56.00	0.00	57.00	-1.00
Lion Mixed Fruit  Squash 700ml 165/-	Pcs.	82.00	0.00	42.00	40.00
Lion Mixed Fruit Jam (1+1) 132/-	Pcs.	120.00	360.00	480.00	0.00
Lion mixed fruit Jam 100g Cup 20/-	Pcs.	6.00	0.00	0.00	6.00
lion mixed fruit Jam 10g 2/-	Pcs.	-720.00	3600.00	1680.00	1200.00
Lion Mixed Fruit Jam 125g 23/-	Pcs.	0.00	27600.00	24458.00	3142.00
Lion Mixed Fruit Jam 125g 25/-	Pcs.	894.00	29760.00	30654.00	0.00
Lion Mixed Fruit Jam 250g (1+1) 114/-	Pcs.	0.00	1392.00	1392.00	0.00
Lion Mixed Fruit Jam 250g (1+1) 116/-	Pcs.	0.00	408.00	119.00	289.00
Lion Mixed Fruit Jam 250g (1+1) 120/-	Pcs.	0.00	1344.00	1344.00	0.00
Lion Mixed Fruit Jam 250g 70/-	Pcs.	6.00	0.00	0.00	6.00
Lion Mixed Fruit Jam 500g (1+1) 210/-	Pcs.	0.00	96.00	90.00	6.00
Lion Mixed Fruit Jam 500g (1+1) 220/-	Pcs.	0.00	12.00	12.00	0.00
Lion Mixed Fruit Jam 500g (1+1) 224/-	Pcs.	0.00	96.00	96.00	0.00
Lion Mixed Fruit Jam 500g (1+1) 235/-	Pcs.	12.00	36.00	46.00	2.00
Lion Mixed Fruit Jan 250g (1+1) 122/-	Pcs.	0.00	624.00	615.00	9.00
Lion Mixed Fruit Squash 700 Ml 156/-	Pcs.	2.00	0.00	0.00	2.00
Lion Muesli 250g  140/-	Pcs.	0.00	40.00	40.00	0.00
Lion Muesli 250g (1+1) 234/-	Pcs.	0.00	20.00	20.00	0.00
Lion Muesli 250g 124/-	Pcs.	0.00	80.00	46.00	34.00
Lion Muesli 250g 135/-	Pcs.	0.00	40.00	40.00	0.00
Lion Muesli 250g 160/-	Pcs.	3.00	0.00	0.00	3.00
Lion muscut  Dates 500g R 261/-	Pcs.	0.00	40.00	18.00	22.00
Lion Muscut Dates 500g  279/-	Pcs.	0.00	40.00	40.00	0.00
Lion Nannari Sharabath 700ml 169/-	Pcs.	64.00	0.00	30.00	34.00
Lion Nannari Sharbath 700ml 165/-	Pcs.	29.00	0.00	0.00	29.00
Lion Nuts & Honey 300g 304/-	Pcs.	0.00	48.00	48.00	0.00
Lion Nuts & Honey 300g 325/-	Pcs.	18.00	72.00	90.00	0.00
Lion Oats 200 G 59/-	Pcs.	0.00	66.00	66.00	0.00
Lion Oats 200g 52/-	Pcs.	39.00	66.00	105.00	0.00
Lion Oats 200g 60/-	Pcs.	0.00	396.00	396.00	0.00
Lion Oats 200g R 50/-	Pcs.	0.00	330.00	282.00	48.00
Lion Oats 500+200 G Free 155/-	Pcs.	0.00	99.00	99.00	0.00
Lion Oats 500+200g  Free 112/-	Pcs.	0.00	297.00	248.00	49.00
Lion Oats 500+200g  Free 132/-	Pcs.	0.00	99.00	98.00	1.00
Lion Oats 500+200g  Free 139/-	Pcs.	0.00	33.00	33.00	0.00
Lion Oats 500+200g  Free 143/-	Pcs.	0.00	66.00	66.00	0.00
Lion Oats 500+200g  Free 144/-	Pcs.	40.00	759.00	799.00	0.00
Lion Oats 500g+200g 136/-	Pcs.	2.00	0.00	0.00	2.00
Lion Orange Squash 700ml 174/-	Pcs.	13.00	0.00	0.00	13.00
Lion Orange Squash 700ml 192/-	Pcs.	89.00	0.00	53.00	36.00
Lion Pineapple Squash 700ml 147/-	Pcs.	-1.00	0.00	0.00	-1.00
Lion Pineapple Squash 700ml 150/-	Pcs.	80.00	0.00	74.00	6.00
Lion Quno Seeded Dates 500g (1+1) 186/-	Pcs.	0.00	700.00	699.00	1.00
Lion Qyno Seeded Dates  500g 96/-	Pcs.	0.00	120.00	120.00	0.00
Lion Qyno Seeded Dates 250g (1+1) 116/-	Pcs.	0.00	1872.00	1535.00	337.00
Lion Qyno Seeded Dates 250g (1+1) 98/-	Pcs.	0.00	1224.00	1223.00	1.00
Lion Qyno Seeded Dates 250g +250g  114/-	Pcs.	0.00	40.00	40.00	0.00
Lion Qyno Seeded Dates 250g +250g  98/-	Pcs.	0.00	160.00	160.00	0.00
Lion Qyno Seeded Dates 500g (1+1) 222/-	Pcs.	0.00	850.00	750.00	100.00
Lion Rose Sharabat 700ml 140/-	Pcs.	1.00	0.00	0.00	1.00
Lion Rose Sharabath 149/-	Pcs.	48.00	0.00	33.00	15.00
Lion Rose Sharabath 700ml 144/-	Pcs.	20.00	0.00	18.00	2.00
Lion Seeded Dates 250g (1+1) 105/-	Pcs.	315.00	3528.00	3843.00	0.00
Lion Seeded Dates 250g (1+1) 99/-	Pcs.	-4.00	0.00	0.00	-4.00
Lion Seeded Dates 500g (1+1) 175/-	Pcs.	10.00	0.00	0.00	10.00
Lion Seeded Dates 500g (1+1) 185/-	Pcs.	4.00	0.00	0.00	4.00
Lion Seeded Dates 500g 199/-	Pcs.	96.00	1325.00	1419.00	2.00
Lion Sultan Dates 500g Cup 136/-	Pcs.	1.00	0.00	0.00	1.00
Lion Sulthan Dates 250g  (1+1) 112/-	Pcs.	0.00	612.00	577.00	35.00
Lion Sulthan Dates 500g (1+1) 215/-	Pcs.	0.00	280.00	280.00	0.00
Lion Sulthan Dates 500g (1+1) 230/-	Pcs.	20.00	140.00	160.00	0.00
Lion Tomato Ketchup With Dates (1+1) 86/	Pcs.	0.00	18.00	18.00	0.00
Lion Tomoto Ketchup  (1+1) 80/-	Pcs.	0.00	36.00	35.00	1.00
Lion Tomoto Ketchup  (1+1) 84/-	Pcs.	6.00	36.00	41.00	1.00
LITTLE FLAKES 250 85/-	Pcs.	0.00	10.00	10.00	0.00
LITTLE MILLET 500 80/-	Pcs.	0.00	270.00	244.00	26.00
LITTLE MILLET IDLY RAVA 500 100/-	Pcs.	0.00	5.00	5.00	0.00
LITTLE MILLET IDLY RAVA 500 90/-	Pcs.	0.00	58.00	50.00	8.00
LITTLE RAVA 500 95/-	Pcs.	0.00	20.00	17.00	3.00
Luna Dates 250g Cup 138/-	Pcs.	0.00	144.00	84.00	60.00
Luna Dates 500g Cup 265/-	Pcs.	0.00	45.00	41.00	4.00
M G HEALTHMIX 500 130/-	Pcs.	0.00	140.00	140.00	0.00
MAHABEERA 150 69/-	Pcs.	0.00	123.00	119.00	4.00
MALTI  MILLET MALT 500 240/-	Pcs.	0.00	411.00	383.00	28.00
MALTI MILLET IDLY RAVA 500 72/-	Pcs.	0.00	82.00	50.00	32.00
MANGO SQUASH  700ml  155/-	Pcs.	0.00	40.00	20.00	20.00
MANGO SQUASH  700ml  165/-	Pcs.	0.00	60.00	64.00	-4.00
MAPILAI SAMBA FLAKES 250 90/-	Pcs.	0.00	2.00	2.00	0.00
MIXED FRUIT SQUASH 700 Ml  145/-	Pcs.	0.00	120.00	81.00	39.00
MULTANMITTI 100  33/-	Pcs.	0.00	20.00	11.00	9.00
MULTI MILLET CHIKKE 70gm 33/-	Pcs.	0.00	683.00	585.00	98.00
MULTIMILLET MALT 200 123/-	Pcs.	0.00	231.00	208.00	23.00
MULTIMILLET RAVA 500 75/-	Pcs.	0.00	41.00	31.00	10.00
NANNARI SHARABAT 700ml    166/-	Pcs.	0.00	140.00	79.00	61.00
ORANGE SQUASH 700 ml  180/-	Pcs.	0.00	220.00	142.00	78.00
PAMKINSEEDS 100 78/-	Pcs.	0.00	250.00	195.00	55.00
PAPAD 100g  42/-	Pcs.	0.00	715.00	590.00	125.00
PAPAD 200 78/-	Pcs.	0.00	424.00	374.00	50.00
PINEAPPLE SQUASH 700 Ml 139/-	Pcs.	0.00	140.00	103.00	37.00
PINK SALT 500 G 50/-	Pcs.	0.00	9.00	9.00	0.00
PINKSALT CRYSTAL 100/-	Pcs.	0.00	14.00	14.00	0.00
PINKSALT CRYSTAL 105/-	Pcs.	0.00	266.00	266.00	0.00
PINKSALT P 500 54/-	Pcs.	0.00	180.00	178.00	2.00
PINKSALT P KG 90/-	Pcs.	0.00	47.00	47.00	0.00
PINKSALT P KG 95/-	Pcs.	11.00	581.00	592.00	0.00
PONGAR FLAKES 250 95/-	Pcs.	0.00	2.00	2.00	0.00
POOL MAKHANA 80 168/-	Pcs.	0.00	821.00	756.00	65.00
PROSO MILLET 500 90/-	Pcs.	0.00	10.00	3.00	7.00
QUINOA RICE 500GM 90/-	Pcs.	0.00	40.00	24.00	16.00
RAGI FLAKES 250 55/-	Pcs.	0.00	40.00	31.00	9.00
RAGI FLOUR  SPL 500 g 60/-	Pcs.	0.00	10.00	10.00	0.00
RAGI FLOUR REG 500 50/-	Pcs.	0.00	1066.00	1016.00	50.00
RAGI MILLET IDLY RAVA 500 65/-	Pcs.	0.00	142.00	130.00	12.00
RAGI RAVA 500G 69/-	Pcs.	0.00	35.00	31.00	4.00
RAGIJAVA 200 60/-	Pcs.	0.00	96.00	88.00	8.00
RAGIMALT 200 123/-	Pcs.	0.00	255.00	188.00	67.00
RAGIMALT 500 240/-	Pcs.	0.00	379.00	354.00	25.00
RED RICE FLAKES 250 95/-	Pcs.	0.00	5.00	4.00	1.00
RICE FLOUR 500  40/-	Pcs.	0.00	455.00	411.00	44.00
RICE FLOUR 500 35/-	Pcs.	0.00	34.00	34.00	0.00
ROASTED MASALA MAKHANA 25G 78/-	Pcs.	0.00	5.00	4.00	1.00
ROSE SHARAMAT 700ml   126/-	Pcs.	0.00	160.00	121.00	39.00
SABJA SEEDS 100g  50/-	Pcs.	0.00	277.00	205.00	72.00
SUNFLOWER 100 45/-	Pcs.	0.00	239.00	189.00	50.00
TURMERIC POWDER 100g  45/-	Pcs.	0.00	37.00	34.00	3.00
WATERMELON 100g  135/-	Pcs.	0.00	40.00	24.00	16.00
	                                       Total	5513.00	171634.00	165339.00	11808.00 
